id,severity,sheet,issue,rows,treatment
1,Med,employees,"hire_date stored in 3 formats (ISO, M/D/YYYY, leading space)",952 US-format + 131 padded,"Parsed both formats; all first-fields <=12 and second-fields go to 31, so M/D/YYYY confirmed. 0 unparseable."
2,Low,employees,employment_status mixed case (ACTIVE/TERMINATED),59,Normalised to Title Case
3,Med,employees,dept_code lower-case (d33 etc.) - would silently fail a join to departments,147,Upper-cased before join
4,Low,employees,"location has trailing whitespace ('Denver, CO ' vs 'Denver, CO') -> splits filters",104,Trimmed
5,High,employees,"Exact duplicate rows (same id, identical fields)",3,Dropped duplicates (would otherwise double-count headcount)
6,High,employees,"Employee id used for TWO different employment spells (id [7532]: hired 3/14/2022 -> terminated 8/15/2024, re-hired 11/10/2025, currently Active). Termination log has only the 2024 exit.",2 rows,"Treated as a rehire: kept both spells, matched the log to the spell whose hire date precedes the termination date; only the 2025 spell is active. Counts once in headcount."
7,Med,employees,Placeholder-looking hire date 2015-01-05 (63 rows vs <=6 for any other date; it is also the earliest date in the file; many of these people would have been <18 at hire),63,"Kept as-is (cannot recover true date). All are >10y tenure so they never fall in the <1yr cohort, but tenure-band and 'years of service' metrics are unreliable for them. Flag for HRIS to backfill."
8,Med,termination_log,Termination dated before the spell's hire date (the rehire's 2025 row),1,Log entry attached to the 2022 spell only
9,High,employees/termination_log,"Status says Active but termination_log has an exit (id [8086], 7/15/2026, voluntary-compensation)",1,Termination log treated as source of truth -> employee counted as terminated. HRIS status not refreshed after exit.
10,Info,employees/termination_log,Terminated employees with no log entry,0,None found (checked)
11,High,employees,"Same person entered twice under different ids and name variants: Rob Calloway (id 3994, hired 2024-01-08, no comp history) vs Robert Calloway (id 11973, hired 2021-07-19, full comp history). Same email, DOB, dept, entity, location.",1 row,"Excluded id 3994 from all counts (kept the record with the comp history/original hire date). This is exactly the 1-FTE gap between my recount and monthly_summary, every month."
12,High,comp_history,Future-dated comp rows (all 4% base increases effective 2026-10-01; 40 employees incl. Dana Whitfield),40,"Excluded from 'current' comp (effective_date <= as-of date). Would add ~$165K annualised once effective. Only 40 of ~1,990 FTEs have one -> looks like a partial load of an Oct cycle."
13,High,comp_history,"Base pay recorded as an HOURLY rate for 770 rows (all Production Associates/Leads + interns): summing raw amounts would understate their pay ~2,000x",770,"Annualised at 2,080 hrs (40h x 52w) - assumption, no hours field exists. Interns are excluded anyway (not FTE)."
14,High,comp_history,Multi-currency: 574 comp rows are GBP/EUR/CAD,574,Converted to USD with the single static rate in legal_entities (no rate history/date available). Any FX-sensitive answer (e.g. UK/Canada heavy orgs) should be re-run at Finance's budget rate.
15,High,termination_log,"termination_log mixes FTEs, contractors and interns; all 76 intern exits ('End of Internship') are typed VOLUNTARY, 72 contractor exits are 'Contract End'. Unfiltered, Aug-2025 'voluntary terms' = 64 instead of 12 and Aug-2026 = 46 instead of 22.",148,Attrition is FTE-only. Contractors/interns are available behind the worker-type filter but flagged.
16,Med,monthly_summary,monthly_summary does not tie to the source tables: voluntary_terms for 2026-03-31 is 16 in the summary vs 13 in the termination log (FTE). Headcount ties to my rebuild in all 24 months once the duplicate person is removed (raw file would be +1 every month); tenure<1yr ties using a <365-day definition.,1,Did not use monthly_summary for any answer; rebuilt every figure from employees + termination_log. Suggest whoever keeps it stops hand-keying and uses the pipeline.
17,Low,comp_history,7 comp rows are labelled USD but the employee's entity is Europe B.V. (EUR). All are hourly interns.,7,"Left as labelled (USD); interns are out of scope for every FTE answer, so no impact. Worth fixing at source."
18,Low,employees,Names/emails inconsistent: 20 surnames carry a '2' suffix (e.g. 'Kelly2'); 25 emails don't match the person's name (incl. every VP + CEO).,45,Not used as join keys (employee_id only). Flagged for HRIS.
