month_end,hc_mine,hc_summary,lt1_mine,lt1_summary,vol_mine,vol_summary,invol_mine,invol_summary
2024-09-30,1792,1792,491,491,11,11,2,2
2024-10-31,1803,1803,465,465,8,8,3,3
2024-11-30,1812,1812,439,439,9,9,3,3
2024-12-31,1820,1820,412,412,8,8,4,4
2025-01-31,1828,1828,393,393,11,11,4,4
2025-02-28,1837,1837,373,373,12,12,3,3
2025-03-31,1842,1842,349,349,12,12,3,3
2025-04-30,1852,1852,334,334,12,12,4,4
2025-05-31,1867,1867,309,309,11,11,2,2
2025-06-30,1879,1879,297,297,13,13,3,3
2025-07-31,1888,1888,278,278,10,10,2,2
2025-08-31,1894,1894,264,264,12,12,4,4
2025-09-30,1904,1904,265,265,14,14,3,3
2025-10-31,1907,1907,261,261,13,13,4,4
2025-11-30,1921,1921,268,268,11,11,3,3
2025-12-31,1935,1935,275,275,10,10,2,2
2026-01-31,1940,1940,270,270,14,14,3,3
2026-02-28,1953,1953,275,275,14,14,3,3
2026-03-31,1963,1963,277,277,13,16,3,3
2026-04-30,1970,1970,274,274,14,14,3,3
2026-05-31,1980,1980,271,271,16,16,2,2
2026-06-30,1984,1984,263,263,20,20,2,2
2026-07-31,1992,1992,268,268,19,19,3,3
2026-08-31,1991,1991,267,267,22,22,4,4
